"","address_state","impact_year","n_people","total_est_refund_amount"
"1","AA",2021,2,4000
"2","AK",2021,474,1328900
"3","AL",2021,4541,12312278
"4","AP",2021,1,3415
"5","AR",2021,2148,5778770
"6","AS",2021,1,3200
"7","AZ",2021,5174,14361140
"8","CA",2021,38050,101511508
"9","CO",2021,6249,17964204
"10","CT",2021,6568,18810495
"11","DC",2021,1444,4220900
"12","DE",2021,402,1080660
"13","FL",2021,10482,28378926
"14","FM",2021,3,10030
"15","GA",2021,4969,12871785
"16","HI",2021,931,2610585
"17","IA",2021,1155,2992380
"18","ID",2021,600,1552975
"19","IL",2021,6686,17933417
"20","IN",2021,3252,8505486
"21","KS",2021,1189,3081317
"22","KY",2021,3271,8306927
"23","LA",2021,3421,8977346
"24","MA",2021,8494,23088715
"25","MD",2021,2514,6791005
"26","ME",2021,3393,10711130
"27","MH",2021,1,3200
"28","MI",2021,7412,20688910
"29","MN",2021,2385,6208941
"30","MO",2021,4117,11638013
"31","MS",2021,1597,4012329
"32","MT",2021,586,1558385
"33","NC",2021,5275,13384628
"34","ND",2021,321,850245
"35","NE",2021,638,1664567
"36","NH",2021,562,1473265
"37","NJ",2021,3939,10544924
"38","NM",2021,2739,7457435
"39","NV",2021,2135,5525010
"40","NY",2021,14138,38191331
"41","OH",2021,9249,25276746
"42","OK",2021,5303,14589207
"43","OR",2021,3094,8279975
"44","PA",2021,17629,50970224
"45","PR",2021,16,42675
"46","PW",2021,5,17075
"47","RI",2021,453,1179860
"48","SC",2021,3213,9004156
"49","SD",2021,509,1383175
"50","TN",2021,6146,16487609
"51","TX",2021,20893,58972250
"52","UT",2021,1014,2678940
"53","VA",2021,4375,11984597
"54","VI",2021,1,3415
"55","VT",2021,316,835550
"56","WA",2021,7435,20169146
"57","WI",2021,4549,13177244
"58","WV",2021,1296,3213140
"59","WY",2021,194,486530
"60",NA,2021,19343,58744665
"61","AE",2022,1,1400
"62","AK",2022,379,767528
"63","AL",2022,2599,4522692
"64","AP",2022,2,3520
"65","AR",2022,849,1434287
"66","AZ",2022,3225,5812101
"67","CA",2022,32713,59795642
"68","CO",2022,2405,4348325
"69","CT",2022,4812,7786908
"70","DC",2022,987,1905788
"71","DE",2022,664,1042278
"72","FL",2022,6862,12245801
"73","FM",2022,5,3516
"74","GA",2022,3363,6029810
"75","HI",2022,519,929299
"76","IA",2022,384,652998
"77","ID",2022,474,843945
"78","IL",2022,3969,7169713
"79","IN",2022,1846,3159025
"80","KS",2022,887,1588087
"81","KY",2022,3579,6322656
"82","LA",2022,3911,7077665
"83","MA",2022,13057,21874795
"84","MD",2022,1874,3574958
"85","ME",2022,2355,4436168
"86","MI",2022,6232,11364089
"87","MN",2022,5583,10798194
"88","MO",2022,2460,4418620
"89","MS",2022,715,1216282
"90","MT",2022,300,568660
"91","NC",2022,5076,8752150
"92","ND",2022,180,388606
"93","NE",2022,530,1057278
"94","NH",2022,499,834937
"95","NJ",2022,2996,5503048
"96","NM",2022,1884,3357946
"97","NV",2022,1590,2991358
"98","NY",2022,9299,15879153
"99","OH",2022,7585,13560176
"100","OK",2022,3077,5598286
"101","OR",2022,2924,5431800
"102","PA",2022,12228,21719096
"103","PR",2022,2510,5723623
"104","PW",2022,5,10040
"105","RI",2022,497,824998
"106","SC",2022,1708,2969143
"107","SD",2022,309,580192
"108","TN",2022,3617,5843492
"109","TX",2022,11553,21568959
"110","UT",2022,594,1102957
"111","VA",2022,3424,6119949
"112","VI",2022,1,2120
"113","VT",2022,334,569191
"114","WA",2022,4568,7743133
"115","WI",2022,4042,7744063
"116","WV",2022,865,1458030
"117","WY",2022,145,273004
"118",NA,2022,4860,10188720
"119","AK",2023,7,3750
"120","AL",2023,294,298750
"121","AR",2023,11,7500
"122","AS",2023,1,1250
"123","AZ",2023,228,238750
"124","CA",2023,679,598750
"125","CO",2023,48,31250
"126","CT",2023,649,503750
"127","DE",2023,63,51250
"128","FL",2023,199,171250
"129","GA",2023,108,105000
"130","HI",2023,2,1250
"131","IA",2023,4,5000
"132","IL",2023,16,12500
"133","IN",2023,12,10000
"134","KS",2023,7,8750
"135","KY",2023,9,6250
"136","LA",2023,8,8750
"137","MA",2023,250,183750
"138","MD",2023,6,7500
"139","ME",2023,131,147500
"140","MI",2023,208,230000
"141","MN",2023,79,70000
"142","MO",2023,6,3750
"143","MS",2023,2,1250
"144","NC",2023,180,148750
"145","NE",2023,1,1250
"146","NH",2023,1,1250
"147","NJ",2023,49,53750
"148","NM",2023,29,31250
"149","NV",2023,25,15000
"150","NY",2023,675,591250
"151","OH",2023,131,117500
"152","OK",2023,34,18750
"153","OR",2023,7,6250
"154","PA",2023,1109,1066250
"155","PR",2023,3,3750
"156","RI",2023,8,6250
"157","SC",2023,29,21250
"158","TN",2023,483,376250
"159","TX",2023,543,545000
"160","UT",2023,3,1250
"161","VA",2023,77,66250
"162","VT",2023,3,3750
"163","WA",2023,203,153750
"164","WI",2023,153,170000
"165","WV",2023,1,1250
"166",NA,2023,203,250000
